date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:43	18389/18389	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Aug%202022%2012:50:44%20GMT	https://tansianuniversity.edu.ng/upload/col-bg-3.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/col-bg-3.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:50:44	18389/18389	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Aug%202022%2012:50:44%20GMT	https://tansianuniversity.edu.ng/upload/newsletter-bg.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/newsletter-bg.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:50:44	18389/18389	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Aug%202022%2012:50:45%20GMT	https://tansianuniversity.edu.ng/upload/search-bg.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/search-bg.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:50:51	150010/150010	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2001:28:22%20GMT	https://tansianuniversity.edu.ng/upload/about-bg-3.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/about-bg-3.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:50:51	390632/390632	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2002:06:12%20GMT	https://tansianuniversity.edu.ng/upload/about-title-bg.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/about-title-bg.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:51:01	120555/120555	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2003:19:34%20GMT	https://tansianuniversity.edu.ng/upload/coming-soon.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/coming-soon.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:51:04	394556/394556	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2022:07:14%20GMT	https://tansianuniversity.edu.ng/images/404-background.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/images/404-background.jpg	(from https://tansianuniversity.edu.ng/css/style-core.css)
13:51:07	25889/25889	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Aug%202021%2023:25:42%20GMT	https://tansianuniversity.edu.ng/upload/iwene.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/iwene.jpg	(from https://tansianuniversity.edu.ng/about.php)
13:51:07	2909/2909	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:06%20GMT	https://tansianuniversity.edu.ng/upload/about-icon-1.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/about-icon-1.png	(from https://tansianuniversity.edu.ng/about.php)
13:51:09	366297/366297	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2022:31:40%20GMT	https://tansianuniversity.edu.ng/upload/graduates.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/graduates.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:51:09	2880/2880	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:06%20GMT	https://tansianuniversity.edu.ng/upload/about-icon-2.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/about-icon-2.png	(from https://tansianuniversity.edu.ng/about.php)
